id_estudiante,edad,genero,ciudad_origen,departamento_origen,estrato,puntaje_saber11,preferencia_area,universidad_codigo,universidad_nombre,universidad_departamento,universidad_tipo,universidad_acreditada,ranking_nacional,modalidad_programa,convenio_internacional,beca_disponible,eligio_universidad
E018,17,M,Medellín,Antioquia,5,264.9,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,Sí,No
E019,18,M,Bogotá,Cundinamarca,1,334.3,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,Sí,No
E020,21,F,Bucaramanga,Santander,4,322.6,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,No,No
E021,24,F,Barranquilla,Santander,2,323.7,Ingeniería,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,Sí,No
E022,18,F,Bucaramanga,Atlántico,3,272.7,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,No,Sí,No
E023,21,M,Cali,Antioquia,2,342.1,Ingeniería,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,Sí,Sí
E024,19,F,Bucaramanga,Valle del Cauca,1,257.9,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,No,No,Sí
E025,24,M,Medellín,Santander,4,317.6,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,No,Sí,Sí
E026,23,M,Medellín,Valle del Cauca,4,365.7,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,Sí
E027,23,M,Barranquilla,Antioquia,1,270.3,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E028,25,M,Medellín,Antioquia,3,283.0,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,Sí,Sí
E029,19,M,Cali,Atlántico,1,303.0,Salud,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,No,No,Sí
E030,24,M,Barranquilla,Atlántico,5,284.9,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,No,Sí
E031,21,F,Barranquilla,Cundinamarca,5,253.5,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,No,Sí
E032,24,M,Barranquilla,Santander,3,302.1,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,Sí,No
E033,18,F,Bogotá,Santander,5,268.1,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,No
E034,22,F,Medellín,Atlántico,2,314.2,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,No,No,Sí
E035,22,M,Bucaramanga,Atlántico,6,272.4,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,Sí,Sí
E036,19,F,Medellín,Atlántico,6,346.5,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,Sí
E037,22,M,Bucaramanga,Cundinamarca,6,276.5,Administración,U005,Universidad Autónoma,Atlántico,Privada,No,30,Presencial,No,No,No
E038,20,F,Barranquilla,Valle del Cauca,3,290.3,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Presencial,Sí,No,Sí
E039,22,M,Bucaramanga,Atlántico,2,324.4,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,No,Sí
E040,23,F,Cali,Atlántico,2,263.1,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,Sí,Sí
E041,20,F,Bucaramanga,Atlántico,2,306.8,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,Sí,No
E042,19,F,Bogotá,Atlántico,4,339.2,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,No,Sí
E043,19,F,Barranquilla,Santander,1,251.8,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,Sí,Sí
E044,23,M,Barranquilla,Santander,1,305.5,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,No,No,Sí
E045,22,M,Medellín,Valle del Cauca,4,307.8,Salud,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,No,Sí
E046,17,M,Bogotá,Antioquia,3,323.5,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,Sí,No
E047,20,F,Bogotá,Cundinamarca,5,262.9,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,No,No
E048,24,M,Bucaramanga,Santander,6,260.4,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,Sí,No,Sí
E049,20,F,Cali,Cundinamarca,3,315.7,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,Sí,No
E050,17,F,Medellín,Antioquia,5,308.9,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,Sí,No
E051,19,M,Medellín,Santander,1,307.5,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E052,18,F,Bogotá,Antioquia,6,310.4,Salud,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,Sí,No,Sí
E053,25,F,Medellín,Cundinamarca,2,279.6,Ciencias Sociales,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,Sí,No,No
E054,22,F,Barranquilla,Atlántico,3,307.0,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,No,No,Sí
E055,18,F,Bogotá,Atlántico,2,308.8,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,No,No
E056,21,F,Barranquilla,Santander,3,278.6,Ingeniería,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,Sí,No
E057,22,F,Medellín,Cundinamarca,6,356.0,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,Sí,No,Sí
E058,24,M,Cali,Cundinamarca,3,314.2,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,Sí,Sí,Sí
E059,24,F,Medellín,Atlántico,3,264.3,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,Sí
E060,21,M,Bogotá,Cundinamarca,2,319.7,Artes,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,No,No
E061,24,M,Bucaramanga,Antioquia,5,270.8,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,No
E062,24,M,Medellín,Antioquia,1,323.6,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,Sí,Sí
E063,22,M,Bogotá,Valle del Cauca,5,334.8,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,No,Sí
E064,24,M,Bucaramanga,Cundinamarca,4,275.4,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,No,No
E065,23,M,Cali,Antioquia,4,328.9,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,No,No
E066,19,F,Bucaramanga,Cundinamarca,4,312.4,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,Sí,No,Sí
E067,20,F,Bucaramanga,Antioquia,2,324.7,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,Sí,No
E068,25,M,Bucaramanga,Valle del Cauca,2,356.9,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,No,No
E069,17,M,Bogotá,Santander,6,292.6,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,No,Sí
E070,21,F,Cali,Atlántico,5,277.4,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,Sí,No
E071,23,F,Barranquilla,Valle del Cauca,1,273.3,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,Sí,No
E072,19,F,Bucaramanga,Santander,2,275.5,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,No,No
E073,20,M,Bogotá,Cundinamarca,2,297.7,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E074,22,M,Cali,Atlántico,5,310.2,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,No
E075,25,F,Cali,Valle del Cauca,3,308.3,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,No
E076,21,M,Bogotá,Atlántico,1,324.8,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,No,No
E077,23,M,Bucaramanga,Santander,6,300.4,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,No,Sí
E078,25,F,Bucaramanga,Santander,5,343.6,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,No
E079,19,M,Bucaramanga,Santander,1,292.1,Ciencias Sociales,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,No,No
E080,24,F,Cali,Santander,1,381.6,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Presencial,Sí,Sí,No
E081,22,F,Bucaramanga,Antioquia,5,318.8,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E082,17,F,Medellín,Santander,3,274.3,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,Sí,No
E083,19,M,Bogotá,Santander,5,267.9,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,Sí,No
E084,23,M,Barranquilla,Santander,1,314.5,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,No,Sí
E085,24,F,Medellín,Valle del Cauca,6,293.3,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,Sí,No
E086,20,M,Medellín,Santander,3,321.4,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,No
E087,24,F,Bucaramanga,Antioquia,3,314.2,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,Sí,No
E088,19,F,Bogotá,Antioquia,5,297.8,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,No,No
E089,20,F,Bucaramanga,Antioquia,4,274.6,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,No,Sí
E090,25,M,Cali,Cundinamarca,5,254.6,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,Sí,Sí
E091,17,M,Barranquilla,Atlántico,3,286.6,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,No,Sí
E092,20,M,Cali,Atlántico,3,325.7,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,Sí,No,Sí
E093,17,F,Bucaramanga,Santander,4,306.4,Ciencias Sociales,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,Sí,Sí
E094,21,M,Bogotá,Antioquia,3,262.6,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,No,No
E095,21,M,Cali,Santander,6,305.2,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,No
E096,19,M,Barranquilla,Antioquia,5,311.6,Artes,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,Sí,Sí
E097,22,F,Bucaramanga,Santander,3,273.5,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,Sí,No
E098,24,F,Cali,Atlántico,6,304.6,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,Sí
E099,20,M,Barranquilla,Valle del Cauca,6,301.7,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,No,Sí
E100,20,M,Bucaramanga,Atlántico,3,265.7,Administración,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,No,Sí
E101,25,M,Cali,Antioquia,5,310.7,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,Sí,Sí
E102,17,F,Cali,Santander,6,316.8,Ingeniería,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,No,No
E103,23,F,Bogotá,Valle del Cauca,5,332.5,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,Sí,No,Sí
E104,18,F,Bogotá,Antioquia,4,331.6,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,Sí,Sí
E105,24,F,Barranquilla,Cundinamarca,2,258.7,Ciencias Sociales,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,No,No
E106,20,M,Bogotá,Antioquia,1,271.9,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,No,No,Sí
E107,24,F,Cali,Antioquia,4,315.5,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,No,Sí
E108,20,M,Bogotá,Cundinamarca,1,315.4,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,No,Sí
E109,23,F,Cali,Santander,5,315.5,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,Sí,Sí,Sí
E110,22,M,Medellín,Valle del Cauca,2,415.6,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,No,No
E111,23,F,Bogotá,Antioquia,3,317.1,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,Sí
E112,21,F,Cali,Santander,3,334.1,Artes,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,Sí
E113,25,F,Barranquilla,Santander,2,328.6,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,Sí,Sí,Sí
E114,24,F,Bogotá,Santander,2,319.5,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,Sí,Sí
E115,25,M,Barranquilla,Valle del Cauca,3,290.5,Ingeniería,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,Sí,Sí
E116,20,M,Barranquilla,Valle del Cauca,1,322.8,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,No,Sí,No
E117,22,F,Barranquilla,Cundinamarca,4,276.8,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,No,No
E118,20,M,Bogotá,Antioquia,2,292.9,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,No,Sí
E119,20,F,Bucaramanga,Antioquia,2,285.4,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,No,No,No
E120,22,M,Cali,Santander,6,302.5,Artes,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,No,Sí
E121,18,M,Bogotá,Atlántico,5,369.4,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,Sí,Sí
E122,25,F,Medellín,Cundinamarca,1,244.0,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,Sí,Sí
E123,25,F,Bucaramanga,Antioquia,1,320.6,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,Sí,No,Sí
E124,18,M,Cali,Valle del Cauca,6,251.6,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,Sí
E125,24,M,Cali,Antioquia,3,285.8,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,No
E126,17,M,Cali,Cundinamarca,1,332.7,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,No,No
E127,20,M,Bucaramanga,Atlántico,6,301.9,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,Sí
E128,19,F,Bogotá,Valle del Cauca,1,267.7,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,No,Sí
E129,23,F,Barranquilla,Valle del Cauca,1,278.5,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,Sí,Sí
E130,20,M,Medellín,Santander,6,320.4,Ingeniería,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,Sí,No
E131,20,F,Bucaramanga,Atlántico,1,278.1,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,No,No
E132,20,M,Bogotá,Antioquia,6,306.5,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,No,No
E133,22,M,Bogotá,Cundinamarca,6,301.4,Artes,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,Sí,No
E134,19,F,Barranquilla,Santander,3,280.5,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,No,Sí,Sí
E135,22,F,Bogotá,Antioquia,1,364.3,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,No,Sí
E136,23,M,Cali,Antioquia,1,319.0,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,Sí,Sí
E137,21,F,Medellín,Atlántico,4,239.2,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,Sí,No
E138,24,M,Cali,Antioquia,3,305.6,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,No,Sí
E139,22,F,Bucaramanga,Valle del Cauca,3,280.1,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,No,No,No
E140,19,F,Medellín,Antioquia,5,325.6,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,Sí,No
E141,22,M,Bucaramanga,Valle del Cauca,2,276.2,Ciencias Sociales,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,No,No
E142,21,M,Barranquilla,Atlántico,1,296.6,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,No,No
E143,18,F,Bucaramanga,Atlántico,2,315.1,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E144,22,M,Bogotá,Valle del Cauca,5,326.0,Administración,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,Sí
E145,22,F,Bogotá,Cundinamarca,6,264.0,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,Sí,No
E146,23,F,Bucaramanga,Santander,2,290.0,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,No
E147,18,M,Cali,Antioquia,1,285.8,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E148,18,F,Barranquilla,Antioquia,4,280.4,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,No,No
E149,18,M,Cali,Santander,1,353.0,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,No
E150,23,M,Cali,Atlántico,2,312.1,Artes,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,No,Sí
E151,23,M,Cali,Valle del Cauca,6,262.2,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,No,Sí,No
E152,20,F,Bogotá,Antioquia,5,327.5,Ciencias Sociales,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,Sí,No
E153,18,F,Medellín,Atlántico,6,363.7,Administración,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,No,No
E154,18,M,Medellín,Cundinamarca,5,331.0,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,No
E155,23,F,Cali,Atlántico,6,254.4,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Presencial,Sí,No,Sí
E156,22,F,Bucaramanga,Cundinamarca,2,285.5,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,No,Sí
E157,23,F,Barranquilla,Atlántico,4,338.0,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,No,Sí,No
E158,17,F,Cali,Santander,1,278.8,Salud,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,Sí,No
E159,18,F,Bucaramanga,Antioquia,4,313.3,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,No,Sí
E160,21,M,Barranquilla,Antioquia,5,323.2,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,No,No,Sí
E161,23,M,Bucaramanga,Valle del Cauca,4,272.2,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,Sí,Sí,No
E162,25,M,Medellín,Antioquia,1,298.2,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,No,No
E163,17,F,Cali,Valle del Cauca,3,202.8,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,Sí,No
E164,19,F,Barranquilla,Atlántico,6,269.3,Artes,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,No,Sí,No
E165,22,F,Barranquilla,Antioquia,6,292.4,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,Sí,No,No
E166,20,F,Cali,Atlántico,6,262.6,Ingeniería,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,No,No
E167,22,M,Bogotá,Cundinamarca,3,349.0,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,Sí,No
E168,23,M,Cali,Antioquia,1,257.1,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,Sí,No,Sí
E169,22,M,Bogotá,Atlántico,1,286.8,Ciencias Sociales,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,No,Sí
E170,20,F,Bogotá,Valle del Cauca,4,303.9,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,Sí,Sí,Sí
E171,18,F,Cali,Atlántico,6,343.2,Ingeniería,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,Sí,Sí,No
E172,22,F,Cali,Atlántico,4,256.9,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Presencial,Sí,Sí,No
E173,24,F,Cali,Valle del Cauca,1,334.9,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,Sí,Sí
E174,19,M,Bucaramanga,Atlántico,6,300.3,Ingeniería,U005,Universidad Autónoma,Atlántico,Privada,No,30,Virtual,No,Sí,Sí
E175,20,F,Bogotá,Antioquia,3,270.6,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,Sí,Sí,Sí
E176,17,M,Barranquilla,Atlántico,5,313.9,Artes,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,Sí,Sí,No
E177,22,F,Cali,Atlántico,4,306.0,Administración,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Mixta,No,Sí,Sí
E178,17,M,Bogotá,Antioquia,5,282.0,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,Sí
E179,23,F,Bogotá,Santander,1,302.1,Administración,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,No,No
E180,19,F,Barranquilla,Santander,1,288.4,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,Sí
E181,18,F,Bogotá,Atlántico,6,303.4,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,Sí,Sí,Sí
E182,19,M,Cali,Atlántico,6,319.9,Ingeniería,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,No,Sí,Sí
E183,19,F,Bogotá,Cundinamarca,5,347.6,Salud,U005,Universidad Autónoma,Atlántico,Privada,No,30,Mixta,No,No,No
